	sub	emotion	mapping	intensity	score
8883	07	happy	Cordaro2008IPC	5	0.779122150997151
244	07	sadness	Cordaro2008IPC	1	0.4219219219219219
2404	07	sadness	Cordaro2008IPC	2	0.6666666666666667
4564	07	sadness	Cordaro2008IPC	3	0.8103165938864629
6724	07	sadness	Cordaro2008IPC	4	0.8537245110278817
8884	07	sadness	Cordaro2008IPC	5	0.8470348011363636
245	07	surprise	Cordaro2008IPC	1	0.7427184466019418
2405	07	surprise	Cordaro2008IPC	2	0.6994350282485875
4565	07	surprise	Cordaro2008IPC	3	0.9024281718789727
6725	07	surprise	Cordaro2008IPC	4	0.8931504145282273
8885	07	surprise	Cordaro2008IPC	5	0.9046828358208956
276	08	anger	Cordaro2008IPC	1	0.49375
2436	08	anger	Cordaro2008IPC	2	0.6060606060606061
4596	08	anger	Cordaro2008IPC	3	0.5188353313353313
6756	08	anger	Cordaro2008IPC	4	0.5785266291059848
8916	08	anger	Cordaro2008IPC	5	0.5430778880145969
277	08	disgust	Cordaro2008IPC	1	0.5876966171083817
2437	08	disgust	Cordaro2008IPC	2	0.6703420826161791
4597	08	disgust	Cordaro2008IPC	3	0.7063443802574237
6757	08	disgust	Cordaro2008IPC	4	0.6991737901325974
8917	08	disgust	Cordaro2008IPC	5	0.7061928374655648
278	08	fear	Cordaro2008IPC	1	0.5339452214452214
2438	08	fear	Cordaro2008IPC	2	0.5985900673400674
4598	08	fear	Cordaro2008IPC	3	0.580292818963514
6758	08	fear	Cordaro2008IPC	4	0.6184953731522653
8918	08	fear	Cordaro2008IPC	5	0.5992237695147833
279	08	happy	Cordaro2008IPC	1	0.6577118417535417
2439	08	happy	Cordaro2008IPC	2	0.6482811306340718
4599	08	happy	Cordaro2008IPC	3	0.7385937499999998
6759	08	happy	Cordaro2008IPC	4	0.8040105816649793
8919	08	happy	Cordaro2008IPC	5	0.8660965689852957
280	08	sadness	Cordaro2008IPC	1	0.6122448979591836
2440	08	sadness	Cordaro2008IPC	2	0.622023159274634
4600	08	sadness	Cordaro2008IPC	3	0.6973529411764706
6760	08	sadness	Cordaro2008IPC	4	0.6356412503651767
8920	08	sadness	Cordaro2008IPC	5	0.6184112613171275
281	08	surprise	Cordaro2008IPC	1	0.8023310023310023
2441	08	surprise	Cordaro2008IPC	2	0.828584995251662
4601	08	surprise	Cordaro2008IPC	3	0.83228125
6761	08	surprise	Cordaro2008IPC	4	0.843359049207673
8921	08	surprise	Cordaro2008IPC	5	0.8846079045746268
312	09	anger	Cordaro2008IPC	1	0.5190484043869054
2472	09	anger	Cordaro2008IPC	2	0.6746820349761525
4632	09	anger	Cordaro2008IPC	3	0.5826520036849377
6792	09	anger	Cordaro2008IPC	4	0.573192506317987
8952	09	anger	Cordaro2008IPC	5	0.5079762002969808
313	09	disgust	Cordaro2008IPC	1	0.5585858585858585
2473	09	disgust	Cordaro2008IPC	2	0.6346749226006192
4633	09	disgust	Cordaro2008IPC	3	0.6865061261730969
6793	09	disgust	Cordaro2008IPC	4	0.7052898170611763
8953	09	disgust	Cordaro2008IPC	5	0.7316597049747874
314	09	fear	Cordaro2008IPC	1	0.6204174228675136
2474	09	fear	Cordaro2008IPC	2	0.5267543859649122
4634	09	fear	Cordaro2008IPC	3	0.5477838494231937
6794	09	fear	Cordaro2008IPC	4	0.5077483196415236
8954	09	fear	Cordaro2008IPC	5	0.5661835675936538
315	09	happy	Cordaro2008IPC	1	0.6681313131313134
2475	09	happy	Cordaro2008IPC	2	0.6985136923546778
4635	09	happy	Cordaro2008IPC	3	0.7252735799895779
6795	09	happy	Cordaro2008IPC	4	0.7652761774449086
8955	09	happy	Cordaro2008IPC	5	0.794983015135879
316	09	sadness	Cordaro2008IPC	1	0.611353711790393
2476	09	sadness	Cordaro2008IPC	2	0.6551062573789846
4636	09	sadness	Cordaro2008IPC	3	0.6690543071161048
6796	09	sadness	Cordaro2008IPC	4	0.7420377358490565
8956	09	sadness	Cordaro2008IPC	5	0.7785692710430929
317	09	surprise	Cordaro2008IPC	1	0.7602459016393442
2477	09	surprise	Cordaro2008IPC	2	0.5221544715447155
4637	09	surprise	Cordaro2008IPC	3	0.7618351063829787
6797	09	surprise	Cordaro2008IPC	4	0.8319784974432936
8957	09	surprise	Cordaro2008IPC	5	0.8948520531400965
348	10	anger	Cordaro2008IPC	1	0.567083692838654
2508	10	anger	Cordaro2008IPC	2	0.5479323308270677
4668	10	anger	Cordaro2008IPC	3	0.5188251001335114
6828	10	anger	Cordaro2008IPC	4	0.5599894545105933
8988	10	anger	Cordaro2008IPC	5	0.5712956169669302
349	10	disgust	Cordaro2008IPC	1	0.7774431057563588
2509	10	disgust	Cordaro2008IPC	2	0.669074539363484
4669	10	disgust	Cordaro2008IPC	3	0.7223225709339957
6829	10	disgust	Cordaro2008IPC	4	0.7692633237989609
8989	10	disgust	Cordaro2008IPC	5	0.7428326279933939
350	10	fear	Cordaro2008IPC	1	0.5915860014892033
2510	10	fear	Cordaro2008IPC	2	0.6386446886446887
4670	10	fear	Cordaro2008IPC	3	0.6374493014871564
6830	10	fear	Cordaro2008IPC	4	0.6457243460764587
8990	10	fear	Cordaro2008IPC	5	0.6709995009300849
351	10	happy	Cordaro2008IPC	1	0.6320080091533181
2511	10	happy	Cordaro2008IPC	2	0.7362637362637362
4671	10	happy	Cordaro2008IPC	3	0.6887052341597796
6831	10	happy	Cordaro2008IPC	4	0.7591270045892847
8991	10	happy	Cordaro2008IPC	5	0.8307375200481155
352	10	sadness	Cordaro2008IPC	1	0.5451844903064416
2512	10	sadness	Cordaro2008IPC	2	0.5677154582763337
4672	10	sadness	Cordaro2008IPC	3	0.5732638888888888
6832	10	sadness	Cordaro2008IPC	4	0.6965065502183405
8992	10	sadness	Cordaro2008IPC	5	0.7866714402618659
353	10	surprise	Cordaro2008IPC	1	0.7958214624881292
2513	10	surprise	Cordaro2008IPC	2	0.721316425120773
4673	10	surprise	Cordaro2008IPC	3	0.7933169638091171
6833	10	surprise	Cordaro2008IPC	4	0.7826053639846743
8993	10	surprise	Cordaro2008IPC	5	0.8524719504072954
384	11	anger	Cordaro2008IPC	1	0.6503538928210314
2544	11	anger	Cordaro2008IPC	2	0.46450459652706844
4704	11	anger	Cordaro2008IPC	3	0.6726890756302522
6864	11	anger	Cordaro2008IPC	4	0.6143606085526316
9024	11	anger	Cordaro2008IPC	5	0.6404255319148936
385	11	disgust	Cordaro2008IPC	1	0.7594022320746063
2545	11	disgust	Cordaro2008IPC	2	0.8535731244064577
4705	11	disgust	Cordaro2008IPC	3	0.8213370715908541
6865	11	disgust	Cordaro2008IPC	4	0.8533272946859904
